display  D   display_settings.c:191  debug_display_settings           [   0.17389] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.17391] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.17392] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 5/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.17393] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.17394] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 6/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.17395] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.17397] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 7/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.17398] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.17399] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.17400] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.17401] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 1/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.17403] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.17404] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.17405] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.17406] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.17407] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.17411] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.17413] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.17414] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.17415] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.17416] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.17417] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.17419] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.17420] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.17421] color: 32 (rgba 8880), depth: 24, stencil: 4, acc: 0000, samples: 0/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.17422] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.17423] color: 32 (rgba 8880), depth: 24, stencil: 4, acc: 0000, samples: 1/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.17425] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.17426] color: 32 (rgba 8880), depth: 24, stencil: 4, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.17427] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.17428] color: 32 (rgba 8880), depth: 24, stencil: 4, acc: 0000, samples: 3/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.17429] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.17430] color: 32 (rgba 8880), depth: 24, stencil: 4, acc: 0000, samples: 4/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.17432] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.17433] color: 32 (rgba 8880), depth: 24, stencil: 4, acc: 0000, samples: 5/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.17434] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.17435] color: 32 (rgba 8880), depth: 24, stencil: 4, acc: 0000, samples: 6/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.17436] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.17438] color: 32 (rgba 8880), depth: 24, stencil: 4, acc: 0000, samples: 7/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.17439] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.17440] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.17441] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.17442] color: 32 (rgba 8880), depth: 32, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.17443] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.17445] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.17446] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.17447] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.17449] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.17450] color: 32 (rgba 8880), depth: 24, stencil: 4, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.17451] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.17452] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.17453] Score is : 641
display  D   display_settings.c:191  debug_display_settings           [   0.17455] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 1/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.17456] Score is : 609
display  D   display_settings.c:191  debug_display_settings           [   0.17457] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.17458] Score is : 598
display  D   display_settings.c:191  debug_display_settings           [   0.17459] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.17460] Score is : 593
display  D   display_settings.c:191  debug_display_settings           [   0.17461] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.17463] Score is : 589
display  D   display_settings.c:191  debug_display_settings           [   0.17464] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.17465] Score is : 587
display  D   display_settings.c:191  debug_display_settings           [   0.17466] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.17467] Score is : 586
display  D   display_settings.c:191  debug_display_settings           [   0.17468] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.17470] Score is : 585
display  D   display_settings.c:191  debug_display_settings           [   0.17471] color: 32 (rgba 8880), depth: 32, stencil: 0, acc: 0000, samples: 0/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.17472] Score is : 641
display  D   display_settings.c:191  debug_display_settings           [   0.17473] color: 32 (rgba 8880), depth: 32, stencil: 0, acc: 0000, samples: 1/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.17474] Score is : 609
display  D   display_settings.c:191  debug_display_settings           [   0.17475] color: 32 (rgba 8880), depth: 32, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.17477] Score is : 598
display  D   display_settings.c:191  debug_display_settings           [   0.17478] color: 32 (rgba 8880), depth: 32, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.17479] Score is : 593
display  D   display_settings.c:191  debug_display_settings           [   0.17480] color: 32 (rgba 8880), depth: 32, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.17481] Score is : 589
display  D   display_settings.c:191  debug_display_settings           [   0.17482] color: 32 (rgba 8880), depth: 32, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.17484] Score is : 587
display  D   display_settings.c:191  debug_display_settings           [   0.17485] color: 32 (rgba 8880), depth: 32, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.17486] Score is : 586
